populacao,municipio,cod_mun,ano
21045,Mirador,2106706,2021
29121,Miranda do Norte,2106755,2021
15059,Mirinzal,2106805,2021
33888,Monção,2106904,2021
9064,Montes Altos,2107001,2021
19708,Morros,2107100,2021
14826,Nina Rodrigues,2107209,2021
5469,Nova Colinas,2107258,2021
4682,Nova Iorque,2107308,2021
21228,Nova Olinda do Maranhão,2107357,2021
19616,Olho d'Água das Cunhãs,2107407,2021
14968,Olinda Nova do Maranhão,2107456,2021
125265,Paço do Lumiar,2107506,2021
19840,Palmeirândia,2107605,2021
21571,Paraibano,2107704,2021
35108,Parnarama,2107803,2021
19253,Passagem Franca,2107902,2021
19693,Pastos Bons,2108009,2021
16295,Paulino Neves,2108058,2021
21092,Paulo Ramos,2108108,2021
39153,Pedreiras,2108207,2021
25560,Pedro do Rosário,2108256,2021
38987,Penalva,2108306,2021
14371,Peri Mirim,2108405,2021
23530,Peritoró,2108454,2021
33186,Pindaré,2108504,2021
84160,Pinheiro,2108603,2021
21274,Pio XII,2108702,2021
18814,Pirapemas,2108801,2021
17321,Poção de Pedras,2108900,2021
24294,Porto Franco,2109007,2021
5936,Porto Rico do Maranhão,2109056,2021
48264,Presidente Dutra,2109106,2021
12939,Presidente Juscelino,2109205,2021
7124,Presidente Médici,2109239,2021
19217,Presidente Sarney,2109270,2021
11328,Presidente Vargas,2109304,2021
15545,Primeira Cruz,2109403,2021
31586,Raposa,2109452,2021
20288,Riachão,2109502,2021
7859,Ribamar Fiquene,2109551,2021
43243,Rosário,2109601,2021
5686,Sambaíba,2109700,2021
7878,Santa Filomena do Maranhão,2109759,2021
42829,Santa Helena,2109809,2021
89927,Santa Inês,2109908,2021
73105,Santa Luzia,2110005,2021
25487,Santa Luzia do Paruá,2110039,2021
25884,Santa Quitéria do Maranhão,2110104,2021
38732,Santa Rita,2110203,2021
13704,Santana do Maranhão,2110237,2021
16219,Santo Amaro do Maranhão,2110278,2021
14516,Santo Antônio dos Lopes,2110302,2021
18769,São Benedito do Rio Preto,2110401,2021
45989,São Bento,2110500,2021
28825,São Bernardo,2110609,2021
